E,A,R,C,R,R,B,NE,R,R
R,A,E,R,C,R,R,R,B,NE
NE,R,E,A,C,R,R,R,B,R
R,B,E,C,A,R,R,NE,R,R
R,R,R,C,A,E,R,NE,R,B
R,A,NE,R,C,E,R,R,B,R
A,B,E,C,R,R,R,R,R,NE
R,A,E,C,R,R,B,NE,R,R
E,R,R,A,R,R,B,C,R,NE
E,A,B,C,R,R,R,R,NE,R
R,R,E,C,A,R,R,R,NE,B
R,B,A,R,C,E,R,R,R,NE
R,R,R,A,C,E,R,NE,R,B
E,A,NE,C,B,R,R,R,R,R
E,B,A,C,R,R,R,R,NE,R
R,R,R,R,R,R,R,R,R,R
B,NE,E,A,C,R,R,R,R,R
R,A,E,B,C,R,R,R,NE,R
R,A,E,C,NE,NE,R,R,B,R
R,NE,E,C,R,NE,B,R,R,A
E,R,B,C,R,R,R,NE,R,A
E,B,R,R,A,R,C,NE,R,R
E,NE,R,C,A,R,R,R,R,B
E,A,B,R,C,R,R,R,R,NE
R,NE,E,A,C,R,R,R,B,R
A,R,E,R,C,NE,R,R,B,R
R,A,E,C,R,NE,R,R,R,B
E,A,R,R,C,R,B,R,NE,R
E,R,R,C,B,R,R,NE,R,A
A,R,E,R,C,R,R,R,NE,B
E,R,R,C,R,R,B,R,NE,A
