E,NE,A,C,R,R,B,R
R,R,R,R,R,R,R,R
E,NE,C,A,B,R,R,R
R,E,R,A,C,R,B,NE
B,NE,C,R,A,E,R,R
R,NE,R,C,A,E,B,R
E,NE,A,C,R,R,B,R
B,R,C,A,R,R,E,NE
R,R,R,R,R,R,R,R
E,B,C,A,NE,R,R,R
R,E,R,C,A,R,B,NE
A,NE,C,B,R,E,R,R
R,R,R,C,A,E,B,NE
E,NE,C,A,B,R,R,R
E,B,A,R,NE,R,R,C
R,R,R,R,R,R,R,R
A,E,C,R,NE,R,B,R
R,E,C,B,A,R,R,NE
E,B,C,A,NE,NE,R,R
R,NE,C,A,R,NE,B,E
E,R,R,C,B,R,A,NE
E,B,A,C,NE,R,R,R
R,R,R,R,R,R,R,R
E,A,C,B,NE,R,R,R
R,E,A,C,NE,R,B,R
B,E,C,R,A,NE,R,R
R,E,C,B,R,NE,R,A
E,NE,R,C,A,R,B,R
E,R,C,A,NE,R,B,R
R,R,R,R,R,R,R,R
E,NE,C,A,B,R,R,R
