ダウンロードした時刻：2025/06/28 12:57:40

,横浜,横浜,横浜
年月日時,天気,天気,天気
,,品質情報,均質番号
2024/6/27 6:00:00,4,8,1
2024/6/27 7:00:00,4,8,1
2024/6/27 8:00:00,2,8,1
2024/6/27 9:00:00,2,8,1
2024/6/27 10:00:00,4,8,1
2024/6/28 6:00:00,10,8,1
2024/6/28 7:00:00,10,8,1
2024/6/28 8:00:00,10,8,1
2024/6/28 9:00:00,10,8,1
2024/6/28 10:00:00,10,8,1
2024/6/29 6:00:00,4,8,1
2024/6/29 7:00:00,10,8,1
2024/6/29 8:00:00,10,8,1
2024/6/29 9:00:00,4,8,1
2024/6/29 10:00:00,4,8,1
2024/6/30 6:00:00,4,8,1
2024/6/30 7:00:00,4,8,1
2024/6/30 8:00:00,4,8,1
2024/6/30 9:00:00,4,8,1
2024/6/30 10:00:00,4,8,1
2024/7/1 6:00:00,10,8,1
2024/7/1 7:00:00,10,8,1
2024/7/1 8:00:00,10,8,1
2024/7/1 9:00:00,10,8,1
2024/7/1 10:00:00,4,8,1
2024/7/2 6:00:00,4,8,1
2024/7/2 7:00:00,2,8,1
2024/7/2 8:00:00,2,8,1
2024/7/2 9:00:00,4,8,1
2024/7/2 10:00:00,2,8,1
2024/7/3 6:00:00,4,8,1
2024/7/3 7:00:00,4,8,1
2024/7/3 8:00:00,4,8,1
2024/7/3 9:00:00,4,8,1
2024/7/3 10:00:00,4,8,1
2024/7/4 6:00:00,2,8,1
2024/7/4 7:00:00,2,8,1
2024/7/4 8:00:00,2,8,1
2024/7/4 9:00:00,2,8,1
2024/7/4 10:00:00,2,8,1
2024/7/5 6:00:00,2,8,1
2024/7/5 7:00:00,2,8,1
2024/7/5 8:00:00,2,8,1
2024/7/5 9:00:00,2,8,1
2024/7/5 10:00:00,2,8,1
2024/7/6 6:00:00,2,8,1
2024/7/6 7:00:00,2,8,1
2024/7/6 8:00:00,4,8,1
2024/7/6 9:00:00,2,8,1
2024/7/6 10:00:00,2,8,1
2024/7/7 6:00:00,4,8,1
2024/7/7 7:00:00,2,8,1
2024/7/7 8:00:00,4,8,1
2024/7/7 9:00:00,4,8,1
2024/7/7 10:00:00,2,8,1
2024/7/8 6:00:00,4,8,1
2024/7/8 7:00:00,2,8,1
2024/7/8 8:00:00,4,8,1
2024/7/8 9:00:00,2,8,1
2024/7/8 10:00:00,2,8,1
2024/7/9 6:00:00,2,8,1
2024/7/9 7:00:00,2,8,1
2024/7/9 8:00:00,2,8,1
2024/7/9 9:00:00,4,8,1
2024/7/9 10:00:00,4,8,1
2024/7/10 6:00:00,4,8,1
2024/7/10 7:00:00,2,8,1
2024/7/10 8:00:00,2,8,1
2024/7/10 9:00:00,2,8,1
