,Date,Day_of_week,Oba_Attendance,Rainy
0,2024-11-01,金,1,0
1,2024-11-02,土,1,1
2,2024-11-03,日,1,0
3,2024-11-04,月,1,0
4,2024-11-05,火,0,0
5,2024-11-06,水,0,0
6,2024-11-07,木,1,0
7,2024-11-08,金,1,0
8,2024-11-09,土,1,0
9,2024-11-10,日,1,1
10,2024-11-11,月,1,1
11,2024-11-12,火,0,0
12,2024-11-13,水,0,0
13,2024-11-14,木,1,0
14,2024-11-15,金,1,1
15,2024-11-16,土,1,0
16,2024-11-17,日,0,1
17,2024-11-18,月,1,0
18,2024-11-19,火,1,0
19,2024-11-20,水,0,1
20,2024-11-21,木,1,1
21,2024-11-22,金,1,0
22,2024-11-23,土,1,0
23,2024-11-24,日,0,0
24,2024-11-25,月,1,0
25,2024-11-26,火,1,0
26,2024-11-27,水,0,0
27,2024-11-28,木,1,0
28,2024-11-29,金,1,0
29,2024-11-30,土,1,0
30,2024-12-01,,1,0
31,2024-12-02,,1,0
32,2024-12-01,日,1,0
33,2024-12-02,月,1,0
34,2024-12-03,火,0,0
35,2024-12-04,水,0,0
36,2024-12-05,木,1,0
37,2024-12-06,金,1,0
38,2024-12-07,土,1,0
39,2024-12-08,日,1,0
40,2024-12-09,月,1,0
41,2024-12-10,火,0,0
42,2024-12-11,水,0,0
43,2024-12-12,木,1,0
44,2024-12-13,金,1,0
45,2024-12-14,土,1,0
46,2024-12-15,日,0,0
47,2024-12-16,月,1,0
48,2024-12-17,火,1,0
49,2024-12-18,水,0,0
50,2024-12-19,木,1,1
51,2024-12-20,金,1,0
52,2024-12-21,土,1,0
53,2024-12-22,日,0,0
54,2024-12-23,月,1,0
55,2024-12-24,火,1,0
56,2024-12-25,水,0,0
57,2024-12-26,木,1,0
58,2024-12-27,金,1,0
59,2024-12-28,土,1,0
60,2024-12-29,日,0,0
61,2024-12-30,月,1,0
62,2024-12-31,火,0,0
63,2025-01-01,,1,0
64,2025-01-02,,1,0
65,2025-01-03,,1,0
66,2025-01-04,,1,0
67,2025-01-01,水,0,0
68,2025-01-02,木,0,0
69,2025-01-03,金,0,0
70,2025-01-04,土,1,0
71,2025-01-05,日,1,0
72,2025-01-06,月,1,1
73,2025-01-07,火,1,1
74,2025-01-08,水,0,0
75,2025-01-09,木,1,0
76,2025-01-10,金,1,0
77,2025-01-11,土,1,0
78,2025-01-12,日,0,0
79,2025-01-13,月,1,0
80,2025-01-14,火,1,0
81,2025-01-15,水,0,0
82,2025-01-16,木,1,0
83,2025-01-17,金,0,0
84,2025-01-18,土,1,0
85,2025-01-19,日,0,0
86,2025-01-20,月,1,1
87,2025-01-21,火,1,0
88,2025-01-22,水,0,0
89,2025-01-23,木,0,0
90,2025-01-24,金,1,0
91,2025-01-25,土,1,1
92,2025-01-26,日,1,0
93,2025-01-27,月,0,0
94,2025-01-28,火,1,1
95,2025-01-29,水,0,0
96,2025-01-30,木,1,0
97,2025-01-31,金,1,0
98,2025-02-01,,1,0
99,2025-02-02,,1,1
100,2025-02-03,,1,0
101,2025-02-04,,1,0
102,2025-02-01,土,1,0
103,2025-02-02,日,0,1
104,2025-02-03,月,1,0
105,2025-02-04,火,1,0
106,2025-02-05,水,0,0
107,2025-02-06,木,1,0
108,2025-02-07,金,0,0
109,2025-02-08,土,1,0
110,2025-02-09,日,0,0
111,2025-02-10,月,1,0
112,2025-02-11,火,1,0
113,2025-02-12,水,0,0
114,2025-02-13,木,1,0
115,2025-02-14,金,1,0
116,2025-02-15,土,1,0
117,2025-02-16,日,0,0
118,2025-02-17,月,1,0
119,2025-02-18,火,1,0
120,2025-02-19,水,0,0
121,2025-02-20,木,1,0
122,2025-02-21,金,1,0
123,2025-02-22,土,1,0
124,2025-02-23,日,0,0
125,2025-02-24,月,1,0
126,2025-02-25,火,1,0
127,2025-02-26,水,0,0
128,2025-02-27,木,1,0
129,2025-02-28,金,1,0
130,2025-03-01,,1,0
131,2025-03-02,,1,0
132,2025-03-03,,1,1
133,2025-03-04,,1,0
134,2025-03-01,土,1,0
135,2025-03-02,日,0,0
136,2025-03-03,月,1,1
137,2025-03-04,火,1,0
138,2025-03-05,水,0,1
139,2025-03-06,木,1,0
140,2025-03-07,金,1,0
141,2025-03-08,土,1,0
142,2025-03-09,日,1,1
143,2025-03-10,月,0,0
144,2025-03-11,火,1,0
145,2025-03-12,水,0,1
146,2025-03-13,木,1,0
147,2025-03-14,金,1,0
148,2025-03-15,土,1,0
149,2025-03-16,日,0,1
150,2025-03-17,月,1,0
151,2025-03-18,火,1,0
152,2025-03-19,水,0,1
153,2025-03-20,木,1,0
154,2025-03-21,金,1,0
155,2025-03-22,土,1,0
156,2025-03-23,日,0,0
157,2025-03-24,月,1,0
158,2025-03-25,火,1,0
159,2025-03-26,水,0,0
160,2025-03-27,木,1,0
161,2025-03-28,金,1,1
162,2025-03-29,土,1,1
163,2025-03-30,日,0,0
164,2025-03-31,月,1,1
165,2025-04-01,,1,1
166,2025-04-02,,1,1
167,2025-04-03,,1,1
168,2025-04-04,,1,0
169,2025-04-01,火,1,1
170,2025-04-02,水,0,1
171,2025-04-03,木,1,1
172,2025-04-04,金,1,0
173,2025-04-05,土,1,0
174,2025-04-06,日,0,0
175,2025-04-07,月,1,1
176,2025-04-08,火,0,0
177,2025-04-09,水,0,0
178,2025-04-10,木,1,0
179,2025-04-11,金,1,0
180,2025-04-12,土,1,0
181,2025-04-13,日,0,1
182,2025-04-14,月,1,0
183,2025-04-15,火,1,1
184,2025-04-16,水,0,0
185,2025-04-17,木,1,0
186,2025-04-18,金,1,0
187,2025-04-19,土,1,0
188,2025-04-20,日,0,0
189,2025-04-21,月,1,0
190,2025-04-22,火,1,0
191,2025-04-23,水,0,1
192,2025-04-24,木,1,0
193,2025-04-25,金,1,0
194,2025-04-26,土,1,0
195,2025-04-27,日,0,0
196,2025-04-28,月,1,0
197,2025-04-29,火,1,0
198,2025-04-30,水,0,0
199,2025-05-01,,1,0
200,2025-05-02,,1,1
201,2025-05-03,,1,0
202,2025-05-04,,1,0
203,2025-05-01,木,1,0
204,2025-05-02,金,1,1
205,2025-05-03,土,1,0
206,2025-05-04,日,0,0
207,2025-05-05,月,1,0
208,2025-05-06,火,1,1
209,2025-05-07,水,0,0
210,2025-05-08,木,1,0
211,2025-05-09,金,0,0
212,2025-05-10,土,1,1
213,2025-05-11,日,0,0
214,2025-05-12,月,1,1
215,2025-05-13,火,1,0
216,2025-05-14,水,0,0
217,2025-05-15,木,1,0
218,2025-05-16,金,0,0
219,2025-05-17,土,1,1
220,2025-05-18,日,0,0
221,2025-05-19,月,1,0
222,2025-05-20,火,1,0
223,2025-05-21,水,0,0
224,2025-05-22,木,0,1
225,2025-05-23,金,1,0
226,2025-05-24,土,1,0
227,2025-05-25,日,0,1
228,2025-05-26,月,1,0
229,2025-05-27,火,1,0
230,2025-05-28,水,0,1
231,2025-05-29,木,1,0
232,2025-05-30,金,0,1
233,2025-05-31,土,1,1
234,2025-06-01,,1,1
235,2025-06-02,,1,1
236,2025-06-03,,1,1
237,2025-06-04,,1,0
238,2025-06-01,日,0,1
239,2025-06-02,月,1,1
240,2025-06-03,火,1,1
241,2025-06-04,水,0,0
242,2025-06-05,木,1,0
243,2025-06-06,金,0,0
244,2025-06-07,土,1,0
245,2025-06-08,日,0,1
246,2025-06-09,月,1,0
247,2025-06-10,火,1,1
248,2025-06-11,水,0,1
249,2025-06-12,木,1,0
250,2025-06-13,金,1,0
251,2025-06-14,土,1,0
252,2025-06-15,日,0,1
253,2025-06-16,月,1,0
254,2025-06-17,火,1,0
255,2025-06-18,水,0,0
256,2025-06-19,木,1,0
257,2025-06-20,金,1,1
258,2025-06-21,土,0,0
259,2025-06-22,日,0,0
260,2025-06-23,月,1,0
261,2025-06-24,火,1,1
262,2025-06-25,水,0,1
263,2025-06-26,木,1,1
264,2025-06-27,金,0,0
