HALL OF FAME
Schedule(fitness=276.97390350877157)
1:['R', 'R', 'E', 'NE', 'B', 'A', 'C']
2:['E', 'R', 'NE', 'A', 'R', 'C', 'B']
3:['R', 'R', 'R', 'R', 'R', 'R', 'R']
4:['E', 'R', 'NE', 'R', 'A', 'C', 'B']
5:['C', 'A', 'E', 'NE', 'R', 'R', 'B']
6:['E', 'NE', 'C', 'R', 'A', 'R', 'B']
7:['R', 'E', 'B', 'NE', 'A', 'C', 'R']
8:['NE', 'R', 'E', 'B', 'R', 'A', 'C']
9:['NE', 'E', 'C', 'B', 'A', 'R', 'R']
10:['R', 'R', 'R', 'R', 'R', 'R', 'R']
11:['NE', 'R', 'R', 'E', 'A', 'C', 'B']
12:['NE', 'R', 'B', 'E', 'A', 'R', 'C']
13:['R', 'R', 'E', 'NE', 'C', 'A', 'B']
14:['E', 'NE', 'B', 'R', 'A', 'R', 'C']
15:['E', 'R', 'NE', 'C', 'B', 'R', 'A']
16:['R', 'R', 'NE', 'E', 'C', 'A', 'B']
17:['R', 'R', 'R', 'R', 'R', 'R', 'R']
18:['NE', 'R', 'C', 'E', 'A', 'R', 'B']
19:['NE', 'R', 'A', 'E', 'C', 'R', 'B']
20:['NE', 'A', 'R', 'E', 'R', 'B', 'C']
21:['NE', 'R', 'R', 'E', 'A', 'B', 'C']
22:['NE', 'B', 'R', 'E', 'A', 'C', 'R']
23:['E', 'R', 'NE', 'B', 'A', 'R', 'C']
24:['R', 'R', 'R', 'R', 'R', 'R', 'R']
25:['E', 'NE', 'A', 'R', 'B', 'R', 'C']
26:['E', 'C', 'NE', 'R', 'R', 'B', 'A']
27:['R', 'A', 'NE', 'E', 'C', 'R', 'B']
28:['E', 'R', 'NE', 'A', 'C', 'R', 'B']
29:['A', 'R', 'NE', 'E', 'C', 'R', 'B']
30:['NE', 'A', 'R', 'E', 'B', 'C', 'R']
[6.07, 2.44, 4.94, 5.56, 8.56, 4.33, 7.8]
[21, 11, 21, 21, 21, 13, 22]

HALL OF FAME
Schedule(fitness=280.1364035087716)
1:['R', 'R', 'E', 'NE', 'A', 'B', 'C']
2:['NE', 'R', 'E', 'R', 'C', 'B', 'A']
3:['R', 'R', 'R', 'R', 'R', 'R', 'R']
4:['E', 'R', 'NE', 'R', 'A', 'C', 'B']
5:['A', 'R', 'NE', 'E', 'R', 'B', 'C']
