'E', 'NE', 'R', 'A', 'C', 'R', 'B'
'C', 'NE', 'B', 'E', 'A', 'R', 'R'
'E', 'R', 'C', 'NE', 'R', 'B', 'A'
'NE', 'R', 'A', 'E', 'C', 'R', 'B'
'E', 'C', 'R', 'NE', 'R', 'A', 'B'
'A', 'NE', 'E', 'C', 'R', 'R', 'B'
'R', 'R', 'R', 'R', 'R', 'R', 'R'
'E', 'C', 'B', 'NE', 'A', 'R', 'R'
'A', 'R', 'E', 'NE', 'C', 'B', 'R'
'NE', 'R', 'B', 'E', 'A', 'C', 'R'
'E', 'NE', 'A', 'R', 'C', 'R', 'B'
'NE', 'R', 'R', 'E', 'A', 'C', 'B'
'R', 'R', 'E', 'NE', 'A', 'B', 'C'
'R', 'R', 'R', 'R', 'R', 'R', 'R'
'NE', 'R', 'E', 'B', 'R', 'A', 'C'
'E', 'R', 'R', 'NE', 'C', 'B', 'A'
'NE', 'E', 'R', 'B', 'A', 'R', 'C'
'R', 'R', 'NE', 'E', 'A', 'C', 'B'
'R', 'R', 'NE', 'E', 'A', 'C', 'B'
'E', 'B', 'NE', 'R', 'C', 'R', 'A'
'R', 'R', 'R', 'R', 'R', 'R', 'R'
'R', 'E', 'NE', 'B', 'C', 'R', 'A'
'NE', 'R', 'E', 'B', 'A', 'R', 'C'
'E', 'R', 'NE', 'A', 'C', 'R', 'B'
'B', 'E', 'NE', 'R', 'A', 'R', 'C'
'B', 'R', 'A', 'E', 'NE', 'C', 'R'
'A', 'R', 'NE', 'R', 'E', 'C', 'B'
'R', 'R', 'R', 'R', 'R', 'R', 'R'
'B', 'R', 'E', 'NE', 'A', 'R', 'C'
